dataset,index,value
nearly_sorted,23,!tgdV#@!UceTAVMXj&IAy9yQ5DV4NWq)2SpSkA-Y)wieF4wj2@V#rmrS!NFgkzZvKNgSg!*NODikzQmb1WiwL^w0nxdVlZrvd3w*I!Us*Rid^y
nearly_sorted,24,!tvSVNWxUEzsx28fHX4q!l2t#7La!*G2h6MOgLZUyJEvLX14-%7RZT);vxf(k8JKfY*JofeXjBY@^6BPd;Yp8-jV-!
nearly_sorted,25,!uK3jWlDVNLIwQU&egk0P*9s#y6btqJuLUSa3E9u^pcAZ
nearly_sorted,26,!vl@SXxQJCbB--GOL@rlLW;JkCok2ebFT%ZMCWytudtU:Ar3yj-TObVXN1q!bi*QHGo!(7;#ww0vN*^44qu9*MGuHhi^HO^^MNE7ffYuX^MM3u%
nearly_sorted,27,!wnxfORGPyosu6VlF#r*OM
nearly_sorted,28,!xD2t!0CrL:03ftFODm5uIIQX7-brIvx!6Elyo-hHtKu%1-^x(kyp8^P7(&Mh2Y5XBQYsoqlFu5:C:8D;dZFq2ON(9iAh6UED^KAtIW%-Lzh(HbPqF^#FusM^^s!)EFCE^lwf4Y%m48I-1JmjgP7XXxay@TPy)MPcG%n5FD8*q-ewmRJ1M6
nearly_sorted,29,##FXu4B4tiF1qUul2T6svKR!8wzb!AeF14!@hSadgZiuHQ*QNsOzy(eCl1H)nM22&sC
nearly_sorted,30,#%%u4(Ngdu0XfY%AbEjp3:Qq):
nearly_sorted,31,#);:3%96xd5!ZCg*6ljk%;cK;41VjyQ-%Zkr*qnTbH-v)ILATktioNxPMMYiCi!wY9x9X14L8vCPUfowlCNML7bmXXXvF
nearly_sorted,32,#)vq!jmiM)Vm&%XIpgdT)^FY9ntRsfoDgCzsSnOthE&9-ZuK^gfd0#urX6VcUWm%wyu9DVd!)Cp#@7zfce#nF00qbLT9pUQnPhiJQBOMtV:iR#b;5jWadt9lX;TSWzSz8GMScz@cj!MMioJ41;9SxyS
nearly_sorted,33,#*P!&%PFp8qbzZz%OW1gGj
nearly_sorted,34,#2H8X4u9^Dm%9x1c@eJ%pbIbx5z7i::HP4u*D&BKIDUM5mQ:uw@Q&tPDrxJ^zL8G:MGSYF8UT!fxZj!j))vtX9ZhKrZHOabf:l#v^VSg9@aXFVPr9D*DpAtiro;c%dYslMKRB
nearly_sorted,35,#4(yLSf#RHk^6%NWwTKG;Za5@r##2un@
nearly_sorted,36,#42GK)O%v!w14Jxr7Z^G0Vw8Quo8!
nearly_sorted,37,#5SIK8X#J*2YNdkC-lBhX^@XaE1JQeLkMBAv-X!o&uGyMBiEw4#hhy7R1opisu-t-c(xzTz&y3dgD9&SXtFhV^17kOfZQ3EyOA!8#HNNlMZob6^xQy
nearly_sorted,38,#6Xe@d9DLs1#dfI-ba!!bvqX^y9GusBLL8Dv1xDr@HADlHxmWyneJnp:Q^nbaUa0#nnBr98LvxwmSSI1KT!oJkLavRSJXbaEEYhfk(AC^f1:M-3jia8o
nearly_sorted,39,#7t#4YXyaxh-Fe)jhN!GL(-4raoDqgy5tIetM*&KXAQP#iy^(;47-PQO8W&iic@MFC-s^6FMkZSu)h&Z3U(m8I!Y9xm4A3LrH!d:^;dEuA#ii*:M-I;yOkku0d7jLsGV0TCBNANyG8jS*E2DY
nearly_sorted,40,#9!!I2LsAo7OEiGk6pB:CPjYpuyFy5(nJ49LUFTnIfrVl*srF)FueV*O#g5x1!1Vbemn0bISxEd^KH&BUr^e6G*ghj1LEvjK:UnRcodBawKZQt@%vlgejipFe!RoRF)d!03euFO^dt;SZoptzd%03U4GCGmGriI#10-KaG*Y
nearly_sorted,41,#;nt9rc2hUmUr
nearly_sorted,42,#@Qr:-nOf3MsLiytK0@tY3C0FyUNoV3s-Hqw@BENZbTj!!!NKKduvk8*DJgR8fOodh-VU&lMp&%&36utpo9:14CCLK4hT;nscIQOYyVERvYC0:R##s%P6oDF*)XJ
nearly_sorted,43,#@ewfw:4UH%100H(OF4-Dz5ZkUIoJj%jWbxmnxdf-J:81B79Sz8E7tI@M&X&Sj:IsoZD6BVdxEpRPF9YQ4sI-K067ETTBnAeYO8d3sQTdIhrhdsQyK(a#PkE:KPkdE(YCyRi@
nearly_sorted,44,#A2yKoHUmRRCAF5;Syb7gJa6iK&@W7l8UwW!YKWnm(if*inZ(3H4vIWKz&LBVasQLFAZK^kEPba(t97Rc)F4ygDt%DnOAF(R6R-U!C
nearly_sorted,45,#AaEvHNWGME:4w2da^XqznOVJmgGdh782^3:tGrzesdNsq
nearly_sorted,46,#Ehb&CKWK7)#2-23DeHS:(R14*95*J^w5EY&mdMGT8km:^DmB)ByWgAdqfnxZVm%scASLm1IC(DFrNBSY8k;#h@WcpdBzDWg2VZ8;E01VffUrS@jYbUR7;e@r:2Ga#l9;S754vfcFMgofvjqepzGeH-08^%zCYhdPeK#N6rMK5tLbynrb8
nearly_sorted,47,#FQSueM4yZT:uH-jsUtGQU(HkIiemN-a(leqYnv4t!5sJKzp&fWEniI:C&AJU5^NkLfm-&vSHP;U!%(T-5bQpYf@hW^5*1xda4y6kJo1HMHdcDxIZKTCc4B4pr3KSA*3zyYnnRH)M8@q%(CjZbf^AXCPW
nearly_sorted,48,#GPTBSeD0TBbH#cqBkQkhwIS&V%sR7ZQgVcj18vfqcjTuiehQbb9qGGdBhZxdy4aKRBzfPHh*jtHSVH((G-i1wo-v&EXow9NGlJPBUI^I6;d:^7aJPu-s8uANUUKtwez3*ONdBFN:U3dHsS)p!n@gpI5;eL(q!5
nearly_sorted,49,#GZpR;PF@vgB:(&iRhAAc#e^-r0rREMb&mxncQLEHa%;sujW^MtUA*sPE6s4QB*T)KvguySQ(bRnsB99&0hCw%xEHwF%xefh)G^G0e2mEhZGOrshh2hIKWw8nhddhiH68DPh6PJu^FTEJysHKR6hn-6@y#uEt*PIq
nearly_sorted,50,#GbQ%Kuit6z!mf4S5&1^vuu^1s3JpPY63Xe(9-ugf&-cE*U8bDlshv@ASMb@2hsC4
nearly_sorted,51,#JGpm;&%k*i-1e&YXJ
nearly_sorted,52,#JjVxC-1KfQ(HMl2Mdv(8AoZ^MwqOS8j7w2O&^V*X4A@j:Q(Bq3agNk!sIn3zwA(AHv!@x0lQ(o17CSp2HwKBcBQX0VA^!OX^xIsg1:rB2GzPTh1BUB@1jq##2X@ZofF*^a4uE!fFg;#BPx:fi7A5iwHRx-b@1%&3kE%mRw)#Q8Kr:LBt2RTtg*pC
nearly_sorted,53,#Jx-eC5wKt39MTXLX4mFMXy4y:@zPLsE;HTy3F^!:^C1MT58:PxMb@;Zcpsj6QMXrbhEB0)G84TBknNsX;xTEz1WI0RI7fzwiSNRU
nearly_sorted,54,#L6U49Q((FaVXhN;CI1f-!y!CW(4%!a07VR4a40NJnB6zCC*L0UG)r!9PV5BI)r0*NjO6jeC2zG*8RtGiEcARUA5dxKdjxGsUwNwdOF)R9KK4&W7#u7DECpQ@LiE5wEA%F#
nearly_sorted,55,#M-gXGkRqIXf;-jT*GFX(Ok3m4m94rl9R;&Qb&j7Vtpl7bTEH1B%ScwJ@qZigA(YI)Uu-RuZO^a;@U)9wax0iknM0*JQ-usQ-3M))657STY#
nearly_sorted,56,#M;h01J-GUgQCiaX*hhR%v27Xce8s;Kg8hoGxQql70q9gIC84bu929WYy2l122IvU8RX*ZGGZj-:CMPq#xABf^xeLZSKq8Q*J0r2uydFnuMnG&!C#0;Hj8KVS7cm^yi0J;*BX0DrCC@oOL;jF1icAk&UdAm*Z5tRkai5)DIc:VUJ
nearly_sorted,57,#N(;nprnV(C4BsG4^L2Dqh;5z*pvd%bCwVQh*by-O4qJe0ECq%w;!HhuPd)3l0gZ^K4%xL&b9(sd9J%ZCsOia
nearly_sorted,58,#Qs0yc4D#)A!:2I4wQRU)M2Xlt-0LvIY^KrpNzZrmM97V*B&oQsy2(w^LFkg)LCKSY!w^mq0*2Fk#!;5m6^^u*D(s9F2azS8#g)dPb0zHhHSiXbgfm18ZiZd*ZBoCMGYZwcZHBgMghCemNDb4r*a;LshX%ktqi7Hd
nearly_sorted,59,#UN0FoWi^qDvp0y^@)FEcD8em9;w%Nc1u44DDeLd;%qXe73*eAg6-z8fpiQT8CLVWo%3%1!9sh@3RmH&-Ci*P3%mbPJnFIjvYarZM1Y5V)sJi-ewLVOBbcMZL#;g!Q%8NyRH@tKM4;SjS%MIhHJlF^VEbclwvy)vGwPBuS
nearly_sorted,60,#Ys3SQhX;L&W)xY0&vIB6Fc01(@(0Ns1HZeW)ojN&(pB3cU&78(Hdpz7)u:yvH)P9N7RMYmYSLf-a9MY3Qlk5tYYW79B@8k8Z3PnCkSAk@9!ZhTv%gC8IRIvrYewY(O5cs:uNhc^-gGhFW29X&sRcR-GqP8*-XwZy7:uvxv(hBgx1B8N
nearly_sorted,61,#biLKt&(G9HhT-DceoV3hbqYiUpE9SE%ZNfqHc4AQ-C!*f4djy8JQwPw0&F3LKw0;YjQ0bdX8W7Fe8GdDBz*n
nearly_sorted,62,#eQdwkCGX7TTJB3gIxQdWkW3SKXwapNjp@)wf
nearly_sorted,63,#kuQkmH7@-pq(lS:fdf2Iec8yCfnkUs8hRsq3L0ig-i0Cv7!K3yI4-c%3BGz:VJet1r*u8nE:kmeMu4&4G18ak&kmi5d6@JGnGLRcJ;4cjCMrs8%c2@BWSatXVHOUy-R((iZ8nqd-&FIYbeFbRu%tp%pU7tMv4
nearly_sorted,64,#mPe;QKF!pX40sNw(qVda4MMvv&wdeJbxlP(B7:J
nearly_sorted,65,#n&8qG@tOP95dLwB1QGIKTUq&1bZE90*fiAyWGJxAIiN&s9o92uZWnD%SFB)jfvcURJxb&H*)8TR2ASC@BkOLUl9o3CR7eW^nK4c#g*Prk@W!P(K
nearly_sorted,66,#r)DgRLjqDOvum3UvY3Co47l7Qu#sJ;)jb:UfLbZdRVoX7q(*!HD:dvbRDpOn(1%15-B#wojeisOnM:rr63(wt1VUEkhfkfMLL*&0kFqgWIv8Za;sC1p2hQ!3HEyq)6iU2djSChhU)tC!-a7W3uDGH0ruX3h&!ED
nearly_sorted,67,#rpPem5vp2d36F7C1DEHw%o%fnKqt0SxDl(vqb:(vKOEeNFCZH
nearly_sorted,68,#s)c84RVt@zOYNjIFmO-qc-I38Bt2fc1NoAN*TnQYg4@uwiE3Tc)zrVbnsYwf!J!rxJwtNnA)#MqKHDiP)2jcb*EP@wm-Upta&xzdc;azK0@hkVpe8!uqmaXVfXp63O:8^*cPXSa;v9r
nearly_sorted,69,#t1giEgK7E^kTINVK1K&bplJ@F1uq(WP6vz0P4AWFPfDQ%8cARWD::iRSRSOfX8c3gev@::2cbjHCHz9sL*WAoZCCL&5rs5LTMPWj)QfH^dLbCWewNFs-eApDW!-9o6H4Ah0jUc54BnGNFjI327gVjqo:Pd0rUUDc
nearly_sorted,70,#yaBN:TTo)5KiqP;YDCbr@B8NMDkw%giqPYm)MMZ;!pzT2!G0KyK:(TgR@VZUmZFlwu(Hw61LtI%ig62NFmL8;e(BMw^5eqXJqml(d0fpWv3Vm9&BvpMUMJRnR8&y0D;QUkPP*!oeN)^f(mh#g4DPDp;i8z-etIoW8x)baYb8USbIF307d3WY7IId
nearly_sorted,71,#ylUVV2Dy79dH77Hh-*NRipVQOo5qBmpuY:5k-
nearly_sorted,72,#zgWdIz;VU92iw%:g0
nearly_sorted,73,%!F5&M%X-ZXUGb^k!Gz#dxgI(8j*Qhfmow2o-(xEfY8^*7gsLLlDdfjyGeQ0JI4M#mMR*;lX8W#^qMY:zOLv4K(FJ0LmiZKw5k0G(sxsjh0fx7hoGTHecVYZ&xUYvN;:Zr:4y*l&KXKqBaYu@qb*2UJwsOr:
nearly_sorted,74,%!N^-ySejSG!v7VrSmv)KgKQgvwWON!fgpxjlh;2lyJB)S#nS6j3GL3b
nearly_sorted,75,%%JjC5UEq2zD3)!GMd^6d&wM3npeBueccJMYBLrjzcOdwHjy4FJtdCo35ILxaB);@3RCa)X6bKv)j#Gh6%t!n%Q7r67Qp6@@h-@JEK3eL0E*@YSD:BQG@a#Q@ZZcYUUgpLl:jnbISHOZW*Xg*!UCpbvQtq^^Nu7Yow)u;CUh*%Ue96
nearly_sorted,76,%(Bq0nDkVkOoK-6z)tv3TLklurE8FoO*ryp3:8Cg-6^6SKfNrBAtVbnyMN9*KdTZlXst5o5WJh13DUwZ!G*ZVO(d*Abvs@MzCTH8:%DfF64^RaWEqFvQgk@sWK(AP02VdbzOb:jbX!6l3pMX(:pj1-kcRP!PsXM2ZC%nG3d^LAZ):9nd0N:jc5S^V
nearly_sorted,77,%(Rjd!QJ%DVMLB^tUDKW4Tm
nearly_sorted,78,%(t5vVB)j3ceQad9:caUB;0rkA1s28fX!O#5f!ITaYANJ1vzZn
nearly_sorted,79,%)F(:rwR1O4lWd7-jba17uBD#BsKA)nogzd0g#H(-u2eRzO:peAaD-esxf:QC)W:&%7Ie&eeXFDUX48l(%WWuUE:3HeIikq6Tcf2aiyT
nearly_sorted,80,%)UkP2WQQ)fZ1@GN;8S8z)B%7Hk&9Qx2WGAKu3K6MRT^emJ%J&KHMi18U;mQLgR:Om5frq(Ecsj2Rh);E8*m:dg(zBFfk@E6f1GCoQaHS%wMYEZV1iz%mms0Ts8Cm#Ct6
nearly_sorted,81,%)tg4g:hlO@tqrX%DN@qeu0x:bS8Mz
nearly_sorted,82,%*SNd#M7p@Ube@hfQLMl@^uQ;HjNeMOc
nearly_sorted,83,%1@&)IU2Kd4qC57noG(LFN2Xe-#SzAId@!wGa3x
nearly_sorted,84,%3ulL-gHo2j#1LDUQrn9nw^SkJKOyjP1nupOR6a%7yC&qCPSnbF9C1PCV4SohoJC!nrb4%lt(Z-;N0dhhzg0S5Sem4&2thLat64u0fW8Ku09m()SnguGD!Hr(KqLJr%9TYH@hhsGAk;o)&v3db7ADhJzAWtnI
nearly_sorted,85,%5m#!4fQ9GWCNTFaoA#SHa:;w^8qI4:EH-z70wgCNf1J-xo09Ni9-A4qUB^bfmFLTfy(@o6:9RGVIp6oFqczg3-e)OjFGh5C:Yfb8Jq!wrH)6Vmv&yaabIQGJW
nearly_sorted,86,%5m74k;X^aEvbIhZvE4vB@yEkjV
nearly_sorted,87,%7%&pkVq7H2dUf&V%:npfns-HBC-O@0z8v4^pJ5iN&@Z30sGP;A@pp-F;ZUNo6KD7-nmo(Xc5;^TMfKtMNIJ5J!ugb&YLSwknStJQrR63
nearly_sorted,88,%7YfQDAVJRS%Oh
nearly_sorted,89,%7v@yY)#pEWa^GyKDklz8)l@!
nearly_sorted,90,%@%q4X2b7#TCd6M)MMMIdqbsbCzR7;6YLDii^fw-2Ah2fH0#ltr
nearly_sorted,91,%C54wXFLKZKKr()yrPxU74EbH9t(M2oPKaNuQL(U^GK:N(eA4xr66qGM4(nIPt^GU;ZDjB@^(cVx07Bm;!V
nearly_sorted,92,%Feq-%JM#wcr^mlxJBbK6tQqaNazuqC1oEEZiore@x#z%uOvmYU)Vk!0IvY58N1qQ1OKle6nj5o-FvX)(oPZ0Tqii*(i%AV44d*BJzVi)x1-8K5jy)MRRabmq7TO2L%;CmY;dz7-B2LecYJ9Swnrz9*v@RVQi2:JfivZFXLWrY
nearly_sorted,93,%G@)e;7lt3Jw^HL1z@pkdT4M(DG952Q1*
nearly_sorted,94,%I3HUyY6Rm!KZFTv9%G610KaQFXRhv3BelW:hVxl#rW1amvJZ^^Jf8KFtXYu3R7TmA9Fqs*Kg;7&xKUb(5ThKr:T5#jNpDXvP3k;DiM:(HQDn#GcCTifxIBHy#lAIZ@&Z(!OSNbLoPVi8gbxmX2aV-aXp52AN9n
nearly_sorted,95,%JPOhvKAhPdpSWl4:oDfZafpV!xxGN3z8Av*^ZiTawaVBB(0Z3&lV;B53kTy*LT^7Z2Q&I@Vzp&-JRcoUU
nearly_sorted,96,%MMoYBerG!-CuPm#h((wdM%nv4PPX9VrFDYLCVpGJGBV-wzw#8NDl0bSL%8YneELyzuo-@kEg9^I2Ek@6ZjpV&tgWdY3^Mz1gSv*Lq;%TJc&#9cfyv53;Z1vTM4sEB@DrV3G-:WWUmQVT;myuHyohTaJ9:urX&6M!wsw%T^uyP&6xuq-S&MvAdgz4c
nearly_sorted,97,%OF^1u%S)uz6L(eO;WHqw^tZ:(C7jjZAPvZwvuLCT@MrTZkXhAB@^zVtdUMdy7d1KtOaAhD&fDW@66qMy*!QyKBJ#k@:-^sDF(sMHe)P(UjVvyj%H#uvx6b0p4(&G)jJIgqsIHMTtkcmWM:uainMuC3R:8W0HUKr-8T2FDuKYuM5Y0oY;!657@0ORBb^2Vn
nearly_sorted,98,%P!U!4AhF*;
nearly_sorted,99,%Q&mbwGTxSuAfVEZcprVfNoAX@g!UPx8n6KPsn67v&fXWMG:R^Xdhz53BMC#fKVc!ZWZY8piRztVqG#AbAEqGN(njr:!o&2pVBb22j@0&8FsmaMTsDXadW5MUdHo(%M0e@UtMkIGAKWlD2s41StBRiI0i%U8B5(wVj0
nearly_sorted,100,%U:CTP6Fwi6&ZU42hDmIBN^%mGTWPA)-i!2-dXeIzB;2h:%va*J-(oQ!kIjB)*4s1S;&5zL-TWU&aYqh-xrXx;-noFw2K8*9xm#i*EUeNdXhHDm-iHF2(#2Jle^*
nearly_sorted,101,%UPdBYZO!3mIZ-T0e7:0hq*xdZEgZXsjVC);R&RiP6pYIGQwO:a*68XrUYuRjmUWGaS9AVSGlh^JJ;0mmPxs^2dgVdRy7ZR;b1mRn;P!dU(*IyWlpZFtWgp*X8m*L5y;j4VAqJCMtduBodk;WVKZ^qaIk2vtZQH8r(9g^RP^A#ihlMjJLZBM5-@4-HNScrz7i1DD3ej
nearly_sorted,102,%UX%5i:VuQ2uz2jWy)#O4yA3xoyKu-AoXtqtgNKXPSb05gR7NSbmo!soievm:)q:x4ey
nearly_sorted,103,%W(wm1h:yEVdD1aNYotg@C3MXVKmi3@C!9Mt-H728fdn7QcTw#O#3sXVHEnBmqAiKYckz%K#TR%:39Hn(kBqPx^0zZUUNDFM!AfzGrAN4TpZac5%SV0Sg8X10rbRy(9riaUYq*TE;7N2OQYAA4SELoQw-Lqo-mJw!gHPcs^fvtEBnddq!QJq1:nA04nPF
nearly_sorted,104,%W9tBHe1EdUTM9cu7EU5ql&0tIV4-B4Y4:xl#z*O4aK7GyS4VOFId8;
nearly_sorted,105,%aXji0xfnqhK29z#btN#O(&pttmNNVWTj3oidVWelUfDrwb@@zf51DJ@V-iAz4N!oPf@InM:uQQ
nearly_sorted,106,%ahH;y6jbBS5dvxTgVDzbz(f2sIS!s9pGvBjtv1vbY9dN^YuQavS4q(zi--BTvLn4YWYBi)13eg(shIgaZw!aDm#KxYUAm@KoYC
nearly_sorted,107,%bT@k#!!TI*B-zG*c!r@bVJ%&b3f)kk:qr401th6O&plMR92-MCGOruvFqR7sZ%y*6pL)O;Wcz:62gLc!054jd^;;s2VvEkhX;6cr!e#rJ^G&W:Yjs)QFWD0011&qm
nearly_sorted,108,%eRz89sBfayZ*J6bL!GL1#D*CzJ-KgNY1GLzWlrvex4O(OZtwvIB9&k7U1qN)ME#4i*sWTaaZ
nearly_sorted,109,%hB*cpBqxz&T3CqycH5:7L^xmvw*6m4k9SWRNNpmBS9-o8qHLa
nearly_sorted,110,%hK0g4;2#UQ911ytlT;igQ!AD4i:L@Y(ryE@hF9a)EOZC%v69hephES%wo;ge-TUdFYa1dX;p^6eN^:&@JUIGHJ#OuZ%V^@R9pE!QKu5LnZGqpH9%7)J8km%TWYL2KA*1G;Bmmp2KyV5f39oW4i;@eh3I8)-dU9sFZ2Rzc^mSVG2(-sRpCCZse
nearly_sorted,111,%ilVOf1(N2KOuw5v01LmyR4PW
nearly_sorted,112,%k5Ah60g-:!h)ROSAs)*M;Mcg61KyeV:%%d-U^0VmHww1@QKyMv)GoJn8!WC^6b;W:;!qeWpLf6LR*jvqy)fT5TBRC7trf*0ctawqmB
nearly_sorted,113,%l#LRwyjBM)tlSeFTxt4HLZFo51EoE*!CF@QaPx3L@R2^GVV8UY&P@X&A9LKvr!2s0%ajtB1e#3JUBxXz)UaR7i:TsWZZEC&SZzJozjP92XhQu)d8(5GS:SV9eJl-y7%N@UDnCYrludp6z)A8-gWv9%
nearly_sorted,114,%l;Mh*&%-X2#uCG;LTJ#snRq)xJqkThD^eXe12JjjAJhq^;ajYJ!G%jB)Tmx1CA(b
nearly_sorted,115,%lpBY#-LHAbnL5^31vEuz8%t^N4%n9FK*nBzLjqFZB1gVmNW^frJtesl1u@Z*wQDbkBj6wC3xk:Z1:^js1o*@lC7(hSX6OMrW!-dlP5kPc
nearly_sorted,116,%mopJmX-C7:J7zn0ag*Dm2w0^x!R3MAep4SNdPbpg^eHLLjBFp;hl*2%G-FuUPuKsvs#0lB)f3ZS3kwm2:e2ohm1^wMv%NzYKL8ZzFn#3UG32rnRaj(&(yrQK4;V;2DvIP*N47Y1L
nearly_sorted,117,%n#DS7@N2NTSL*ejBvrrgK5pjLnI0t^PWN4bqb!xmES*Z;;h
nearly_sorted,118,%oPv(#2AHG0XfpPy)xZRog!:bc9QCmK6adx*3v:FJEOkRKLQLYXeoC^VZPXIfUSL6JaT&zW4AS5lbzFIyqfU)Ri
nearly_sorted,119,%rgpG%o9VjWd)XX^8A75f*GyZrJ-r4W21ndKTKq0De*gAV^;22Uze*LXLdm5ez@JOC*jmKndK3hmR^3z&R7d^Y)pX:K@^b(le%Ec!T4;9UpkEjM)EJ)jb0fAEH!9K^&1Aaud3pbEW#2oEa7JozpvsTwCyVkuw3Tbx;cdv
